rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_smet,koi_smet_err1,koi_smet_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,koi_sage,koi_sage_err1,koi_sage_err2
5362,7017372,K03689.01,,CANDIDATE,CANDIDATE,1.0000,6452.00,181.00,-250.00,4.241,0.170,-0.187,-0.2800,0.2500,-0.3000,1.3050,0.3950,-0.2630,1.0790,0.1770,-0.1290,,,
5363,6974867,K07800.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,5500.00,181.00,-148.00,3.775,0.323,-0.108,0.1600,0.2500,-0.2500,2.4910,0.5110,-1.0220,1.3480,0.1450,-0.3390,,,
5364,7102316,K02028.03,Kepler-351 d,CONFIRMED,CANDIDATE,0.9850,5642.00,169.00,-169.00,4.542,0.044,-0.176,-0.1400,0.3000,-0.3000,0.8460,0.2330,-0.0780,0.9100,0.1040,-0.0950,,,
5365,11518142,K03762.01,Kepler-1519 b,CONFIRMED,CANDIDATE,0.9990,5758.00,78.00,-86.00,4.168,0.182,-0.098,0.1200,0.1500,-0.1500,1.3850,0.2320,-0.2830,1.0290,0.0900,-0.0730,,,
5366,3114667,K03763.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,4324.00,152.00,-167.00,4.639,0.056,-0.024,-0.2800,0.3000,-0.3000,0.6160,0.0500,-0.0610,0.6040,0.0670,-0.0550,,,
5367,12109845,K03765.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,4561.00,145.00,-194.00,4.788,0.048,-0.028,-1.8400,0.2500,-0.1000,0.4690,0.0300,-0.0400,0.4920,0.0370,-0.0340,,,
5368,3954227,K03766.01,,FALSE POSITIVE,FALSE POSITIVE,,4756.00,186.00,-158.00,4.603,0.058,-0.046,-0.3600,0.3400,-0.3000,0.6670,0.0790,-0.0650,0.6500,0.0900,-0.0490,,,
5369,8651551,K03841.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,4273.00,149.00,-164.00,4.652,0.059,-0.027,-0.3600,0.3000,-0.3000,0.5950,0.0490,-0.0650,0.5810,0.0690,-0.0500,,,
5370,7115550,K07811.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,5724.00,154.00,-154.00,4.530,0.055,-0.165,-0.3800,0.3000,-0.3000,0.8270,0.2050,-0.0880,0.8450,0.0980,-0.0800,,,
5371,9532637,K03842.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,4509.00,157.00,-157.00,4.612,0.052,-0.028,-0.1600,0.3000,-0.3000,0.6630,0.0480,-0.0580,0.6560,0.0720,-0.0540,,,
5372,5305451,K03843.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,5570.00,182.00,-182.00,4.573,0.040,-0.160,-0.2000,0.3000,-0.3000,0.8030,0.2010,-0.0670,0.8800,0.0920,-0.0920,,,
5373,7174349,K03844.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,5780.00,,,4.438,,,0.0000,0.0000,0.0000,1.0000,,,1.0000,,,,,
5374,11824218,K03845.01,,FALSE POSITIVE,FALSE POSITIVE,0.0000,4993.00,106.00,-242.00,2.399,0.039,-0.025,0.0700,0.1500,-0.6500,19.6950,0.9210,-8.2860,3.5460,0.0710,-2.4320,,,
5375,3128552,K02055.04,,CANDIDATE,CANDIDATE,,5741.00,155.00,-150.00,4.556,0.032,-0.281,-0.2400,0.3000,-0.2600,0.8330,0.3400,-0.0680,0.9100,0.0970,-0.0950,,,
5376,10788461,K03925.01,Kepler-1530 d,CONFIRMED,CANDIDATE,1.0000,5678.00,171.00,-188.00,4.215,0.246,-0.164,0.2000,0.2000,-0.3000,1.3030,0.3410,-0.3410,1.0150,0.1220,-0.1110,,,
5377,10788461,K03925.02,Kepler-1530 b,CONFIRMED,CANDIDATE,1.0000,5678.00,171.00,-188.00,4.215,0.246,-0.164,0.2000,0.2000,-0.3000,1.3030,0.3410,-0.3410,1.0150,0.1220,-0.1110,,,
5378,10788461,K03925.03,Kepler-1530 c,CONFIRMED,CANDIDATE,0.9990,5678.00,171.00,-188.00,4.215,0.246,-0.164,0.2000,0.2000,-0.3000,1.3030,0.3410,-0.3410,1.0150,0.1220,-0.1110,,,
